unixtime,hour_utc,hour_dk,area,temp_mean_past1h,radia_glob_past1h,wind_speed_past1h,precip_past1h,pressure,humidity_past1h,cloud_cover
1704063600,2024-01-01 00:00:00,2024-01-01 01:00:00,vestkyst,5.26667,0.0,10.4,0.866667,995.86,92.3333,86.0
1704067200,2024-01-01 01:00:00,2024-01-01 02:00:00,vestkyst,4.9,0.0,11.9,1.15,995.753,92.0,90.0
1704070800,2024-01-01 02:00:00,2024-01-01 03:00:00,vestkyst,5.06667,0.0,10.3333,0.633333,995.561,94.0,91.6667
1704074400,2024-01-01 03:00:00,2024-01-01 04:00:00,vestkyst,5.06667,0.0,10.2,0.6,995.544,93.3333,91.6667
1704078000,2024-01-01 04:00:00,2024-01-01 05:00:00,vestkyst,5.2,0.0,9.9,0.7,995.433,92.0,85.0
1704081600,2024-01-01 05:00:00,2024-01-01 06:00:00,vestkyst,5.03333,0.0,9.63333,0.533333,995.35,92.3333,90.0
1704085200,2024-01-01 06:00:00,2024-01-01 07:00:00,vestkyst,4.9,0.0,9.16667,0.966667,995.372,93.3333,93.3333
1704088800,2024-01-01 07:00:00,2024-01-01 08:00:00,vestkyst,4.73333,0.0,9.13333,0.833333,995.511,94.6667,93.3333
1704092400,2024-01-01 08:00:00,2024-01-01 09:00:00,vestkyst,4.83333,0.0,8.9,0.4,995.883,95.6667,90.0
1704096000,2024-01-01 09:00:00,2024-01-01 10:00:00,vestkyst,5.2,0.0,8.83333,0.166667,996.128,94.3333,91.6667
1704099600,2024-01-01 10:00:00,2024-01-01 11:00:00,vestkyst,5.36667,3.0,9.43333,0.0,996.378,93.0,91.6667
1704103200,2024-01-01 11:00:00,2024-01-01 12:00:00,vestkyst,5.3,11.0,9.3,0.2,996.65,94.3333,91.6667
1704106800,2024-01-01 12:00:00,2024-01-01 13:00:00,vestkyst,5.23333,14.5,9.46667,0.0,996.817,94.0,95.0
1704110400,2024-01-01 13:00:00,2024-01-01 14:00:00,vestkyst,5.23333,17.0,8.96667,0.0,996.867,94.0,96.6667
1704114000,2024-01-01 14:00:00,2024-01-01 15:00:00,vestkyst,5.16667,11.0,8.76667,0.0,996.961,94.0,91.6667
1704117600,2024-01-01 15:00:00,2024-01-01 16:00:00,vestkyst,5.06667,7.5,8.8,0.433333,997.211,94.3333,96.6667
1704121200,2024-01-01 16:00:00,2024-01-01 17:00:00,vestkyst,5.0,5.0,8.9,0.0,997.667,94.6667,96.6667
1704124800,2024-01-01 17:00:00,2024-01-01 18:00:00,vestkyst,4.83333,0.5,8.73333,0.0,998.256,94.6667,90.0
1704128400,2024-01-01 18:00:00,2024-01-01 19:00:00,vestkyst,4.56667,0.0,8.23333,0.433333,998.739,95.6667,91.6667
1704132000,2024-01-01 19:00:00,2024-01-01 20:00:00,vestkyst,4.3,0.0,7.83333,0.166667,999.261,96.6667,91.6667
1704135600,2024-01-01 20:00:00,2024-01-01 21:00:00,vestkyst,4.33333,0.0,7.83333,0.133333,999.6,96.6667,90.0
1704139200,2024-01-01 21:00:00,2024-01-01 22:00:00,vestkyst,4.2,0.0,8.26667,0.0,999.878,96.6667,93.3333
1704142800,2024-01-01 22:00:00,2024-01-01 23:00:00,vestkyst,4.2,0.0,8.7,0.0,1000.13,95.6667,86.6667
1704146400,2024-01-01 23:00:00,2024-01-02 00:00:00,vestkyst,4.16667,0.0,9.06667,0.0,1000.38,94.3333,93.3333
1704150000,2024-01-02 00:00:00,2024-01-02 01:00:00,vestkyst,4.26667,0.0,9.2,0.0666667,1000.41,93.3333,93.3333
1704153600,2024-01-02 01:00:00,2024-01-02 02:00:00,vestkyst,4.13333,0.0,9.06667,0.0,1000.23,92.6667,90.0
1704157200,2024-01-02 02:00:00,2024-01-02 03:00:00,vestkyst,4.0,0.0,9.16667,0.0,1000.13,93.3333,80.0
1704160800,2024-01-02 03:00:00,2024-01-02 04:00:00,vestkyst,3.83333,0.0,9.13333,0.0,999.872,94.3333,66.6667
1704164400,2024-01-02 04:00:00,2024-01-02 05:00:00,vestkyst,3.63333,0.0,9.13333,0.0,999.461,94.3333,70.0
1704168000,2024-01-02 05:00:00,2024-01-02 06:00:00,vestkyst,3.56667,0.0,9.16667,0.0,998.967,95.3333,30.0
1704171600,2024-01-02 06:00:00,2024-01-02 07:00:00,vestkyst,3.5,0.0,9.73333,0.0,998.522,95.0,35.0
1704175200,2024-01-02 07:00:00,2024-01-02 08:00:00,vestkyst,3.23333,0.0,10.1,0.0,998.111,95.6667,91.6667
1704178800,2024-01-02 08:00:00,2024-01-02 09:00:00,vestkyst,3.0,0.0,10.2667,0.0,997.956,97.0,78.3333
1704182400,2024-01-02 09:00:00,2024-01-02 10:00:00,vestkyst,3.0,0.0,10.8333,0.0,997.711,96.0,80.0
1704186000,2024-01-02 10:00:00,2024-01-02 11:00:00,vestkyst,3.0,5.5,11.4,0.0,997.4,95.0,65.0
1704189600,2024-01-02 11:00:00,2024-01-02 12:00:00,vestkyst,3.16667,22.0,12.2,0.0,997.1,93.0,90.0
1704193200,2024-01-02 12:00:00,2024-01-02 13:00:00,vestkyst,3.33333,26.0,12.3,0.0,996.572,90.6667,85.0
1704196800,2024-01-02 13:00:00,2024-01-02 14:00:00,vestkyst,3.33333,25.0,12.0,0.0,995.706,91.0,93.3333
1704200400,2024-01-02 14:00:00,2024-01-02 15:00:00,vestkyst,3.16667,23.5,12.8333,0.0,994.961,90.6667,90.0
