unixtime,hour_utc,hour_dk,area,temp_mean_past1h,radia_glob_past1h,wind_speed_past1h,precip_past1h,pressure,humidity_past1h,cloud_cover
1735686000,2025-01-01 00:00:00,2025-01-01 01:00:00,fyn,7.1,0.0,12.375,0.966667,1000.38,92.25,95.0
1735689600,2025-01-01 01:00:00,2025-01-01 02:00:00,fyn,7.16667,0.0,13.6667,,999.587,92.6667,96.6667
1735693200,2025-01-01 02:00:00,2025-01-01 03:00:00,fyn,7.75,0.0,12.025,1.83333,998.733,92.5,96.6667
1735696800,2025-01-01 03:00:00,2025-01-01 04:00:00,fyn,8.125,0.0,12.375,2.3,997.754,92.0,93.3333
1735700400,2025-01-01 04:00:00,2025-01-01 05:00:00,fyn,8.375,0.0,12.9,1.8,996.908,91.5,90.0
1735704000,2025-01-01 05:00:00,2025-01-01 06:00:00,fyn,8.425,0.0,12.35,1.46667,996.017,91.5,95.0
1735707600,2025-01-01 06:00:00,2025-01-01 07:00:00,fyn,8.475,0.0,11.875,1.0,995.342,91.75,90.0
1735711200,2025-01-01 07:00:00,2025-01-01 08:00:00,fyn,8.45,0.0,11.95,0.733333,994.638,91.75,90.0
1735714800,2025-01-01 08:00:00,2025-01-01 09:00:00,fyn,8.45,0.0,11.3,0.8,993.892,92.25,93.3333
1735718400,2025-01-01 09:00:00,2025-01-01 10:00:00,fyn,8.55,0.0,11.7,1.4,993.342,91.75,90.0
1735722000,2025-01-01 10:00:00,2025-01-01 11:00:00,fyn,8.475,2.0,12.475,1.9,992.683,91.75,90.0
1735725600,2025-01-01 11:00:00,2025-01-01 12:00:00,fyn,8.375,5.5,12.825,2.16667,991.529,92.0,93.3333
1735729200,2025-01-01 12:00:00,2025-01-01 13:00:00,fyn,8.525,9.0,14.825,2.13333,990.008,91.0,93.3333
1735732800,2025-01-01 13:00:00,2025-01-01 14:00:00,fyn,8.5,9.5,15.7,1.33333,988.733,90.25,91.6667
1735736400,2025-01-01 14:00:00,2025-01-01 15:00:00,fyn,8.5,9.5,16.775,1.3,987.7,89.75,90.0
1735740000,2025-01-01 15:00:00,2025-01-01 16:00:00,fyn,8.35,7.0,15.125,0.966667,988.217,90.75,91.6667
1735743600,2025-01-01 16:00:00,2025-01-01 17:00:00,fyn,7.425,3.0,11.925,0.4,989.142,90.0,90.0
1735747200,2025-01-01 17:00:00,2025-01-01 18:00:00,fyn,6.625,0.0,8.5,0.0333333,989.254,90.5,93.3333
1735750800,2025-01-01 18:00:00,2025-01-01 19:00:00,fyn,6.575,0.0,8.475,0.0,989.283,89.75,90.0
1735754400,2025-01-01 19:00:00,2025-01-01 20:00:00,fyn,6.675,0.0,9.575,0.166667,989.683,87.75,90.0
1735758000,2025-01-01 20:00:00,2025-01-01 21:00:00,fyn,6.275,0.0,9.075,0.266667,990.221,89.0,90.0
1735761600,2025-01-01 21:00:00,2025-01-01 22:00:00,fyn,5.85,0.0,7.5,0.0333333,990.9,87.5,85.0
