TimeUTC,TimeDK,PriceArea,SatisfiedDemand,ImbalancePriceEUR,ImbalancePriceDKK,SpotPriceEUR,DominatingDirection,aFRRUpMW,aFRRVWAUpEUR,aFRRVWAUpDKK,aFRRDownMW,aFRRVWADownEUR,aFRRVWADownDKK,mFRRMarginalPriceUpEUR,mFRRMarginalPriceUpDKK,mFRRMarginalPriceDownEUR,mFRRMarginalPriceDownDKK
2026-01-01 00:00:00,2026-01-01T01:00:00,DK1,-320.0,-1.0,-7.47,60.01,-1.0,14.51,94.79,707.98,-0.03,49.38,368.81,60.01,448.21,-1.0,-7.47
2026-01-01 00:15:00,2026-01-01T01:15:00,DK1,-303.0,1.0,7.47,48.9,-1.0,45.13,170.41,1272.78,0.0,0.0,0.0,48.9,365.23,1.0,7.47
2026-01-01 00:30:00,2026-01-01T01:30:00,DK1,-288.0,0.0,0.0,36.74,-1.0,42.7,114.71,856.76,0.0,0.0,0.0,36.74,274.41,0.0,0.0
2026-01-01 00:45:00,2026-01-01T01:45:00,DK1,-163.0,5.51,41.15,23.93,-1.0,40.93,111.08,829.65,0.0,0.0,0.0,23.93,178.73,5.51,41.15
2026-01-01 01:00:00,2026-01-01T02:00:00,DK1,-304.0,3.0,22.41,36.01,-1.0,31.47,108.77,812.39,0.0,0.0,0.0,36.01,268.96,3.0,22.41
2026-01-01 01:15:00,2026-01-01T02:15:00,DK1,-219.0,4.0,29.88,19.92,-1.0,19.34,97.76,730.16,-0.24,53.47,399.36,19.92,148.78,4.0,29.88
2026-01-01 01:30:00,2026-01-01T02:30:00,DK1,-146.0,-1.0,-7.47,14.99,-1.0,43.72,115.85,865.27,-0.01,52.86,394.81,14.99,111.96,-1.0,-7.47
2026-01-01 01:45:00,2026-01-01T02:45:00,DK1,-147.0,-0.5,-3.73,7.36,-1.0,29.11,97.14,725.53,-0.06,45.96,343.27,7.36,54.97,-0.5,-3.73
2026-01-01 02:00:00,2026-01-01T03:00:00,DK1,-135.0,4.0,29.88,10.08,-1.0,20.31,95.24,711.34,-1.52,14.41,107.63,10.08,75.29,4.0,29.88
2026-01-01 02:15:00,2026-01-01T03:15:00,DK1,-68.0,-10.0,-74.69,6.69,-1.0,18.93,42.14,314.74,-0.45,32.06,239.45,6.69,49.97,-10.0,-74.69
2026-01-01 02:30:00,2026-01-01T03:30:00,DK1,-73.0,4.23,31.59,4.5,-1.0,8.8,44.37,331.4,-6.87,17.64,131.75,4.5,33.61,4.23,31.59
2026-01-01 02:45:00,2026-01-01T03:45:00,DK1,-145.0,-1.5,-11.2,3.87,-1.0,15.18,37.7,281.58,-0.51,37.12,277.25,3.87,28.9,-1.5,-11.2
2026-01-01 03:00:00,2026-01-01T04:00:00,DK1,56.0,22.83,170.51,4.5,1.0,1.29,22.83,170.51,-3.95,29.58,220.93,7.05,52.66,4.5,33.61
2026-01-01 03:15:00,2026-01-01T04:15:00,DK1,125.0,19.33,144.37,4.29,1.0,1.28,19.33,144.37,-0.56,39.79,297.19,4.29,32.04,4.0,29.88
2026-01-01 03:30:00,2026-01-01T04:30:00,DK1,155.0,9.15,68.34,3.48,1.0,0.28,9.15,68.34,-0.32,46.91,350.37,3.48,25.99,-1.0,-7.47
2026-01-01 03:45:00,2026-01-01T04:45:00,DK1,29.0,96.07,717.54,3.05,1.0,38.19,96.07,717.54,-0.04,42.18,315.04,3.05,22.78,-10.0,-74.69
2026-01-01 04:00:00,2026-01-01T05:00:00,DK1,0.0,3.05,22.78,3.05,0.0,42.79,87.17,651.06,0.0,0.0,0.0,3.05,22.78,-5.0,-37.34
2026-01-01 04:15:00,2026-01-01T05:15:00,DK1,86.0,69.41,518.42,2.37,1.0,11.97,69.41,518.42,-1.86,32.83,245.2,4.42,33.01,2.37,17.7
2026-01-01 04:30:00,2026-01-01T05:30:00,DK1,85.0,4.42,33.01,2.39,1.0,0.0,0.0,0.0,-11.06,10.52,78.57,4.42,33.01,2.39,17.85
2026-01-01 04:45:00,2026-01-01T05:45:00,DK1,152.0,31.65,236.39,2.39,1.0,0.02,31.65,236.39,-16.64,7.25,54.15,4.69,35.03,2.39,17.85
2026-01-01 05:00:00,2026-01-01T06:00:00,DK1,86.0,19.73,147.36,2.34,1.0,0.97,19.73,147.36,-11.97,17.74,132.5,4.73,35.33,2.34,17.48
2026-01-01 05:15:00,2026-01-01T06:15:00,DK1,179.0,11.11,82.98,2.37,1.0,0.0,0.0,0.0,-15.64,19.87,148.41,11.11,82.98,2.37,17.7
2026-01-01 05:30:00,2026-01-01T06:30:00,DK1,122.0,4.42,33.01,2.85,1.0,0.0,2.85,21.29,-4.73,25.63,191.43,4.42,33.01,2.85,21.29
2026-01-01 05:45:00,2026-01-01T06:45:00,DK1,106.0,6.02,44.96,3.69,1.0,0.02,6.02,44.96,-4.53,41.15,307.35,4.71,35.18,3.69,27.56
2026-01-01 06:00:00,2026-01-01T07:00:00,DK1,-63.0,-1.98,-14.79,2.36,-1.0,23.48,63.65,475.4,-0.01,47.68,356.12,2.36,17.63,-1.98,-14.79
2026-01-01 06:15:00,2026-01-01T07:15:00,DK1,-69.0,-1.94,-14.49,2.4,-1.0,9.91,35.22,263.05,-0.01,53.56,400.03,2.4,17.93,-1.94,-14.49
2026-01-01 06:30:00,2026-01-01T07:30:00,DK1,-67.0,1.0,7.47,3.02,-1.0,8.38,29.68,221.68,0.0,0.0,0.0,3.02,22.56,1.0,7.47
2026-01-01 06:45:00,2026-01-01T07:45:00,DK1,0.0,3.65,27.26,3.65,0.0,0.21,24.92,186.12,-1.29,43.9,327.88,3.65,27.26,1.0,7.47
2026-01-01 07:00:00,2026-01-01T08:00:00,DK1,-55.0,-6.7,-50.04,2.39,-1.0,30.29,73.37,547.99,0.0,0.0,0.0,2.39,17.85,-6.7,-50.04
2026-01-01 07:15:00,2026-01-01T08:15:00,DK1,-111.0,-5.0,-37.34,3.27,-1.0,54.52,103.03,769.52,0.0,0.0,0.0,3.27,24.42,-5.0,-37.34
2026-01-01 07:30:00,2026-01-01T08:30:00,DK1,57.0,46.49,347.23,3.57,1.0,7.16,46.49,347.23,-3.36,22.98,171.64,3.57,26.66,3.3,24.65
2026-01-01 07:45:00,2026-01-01T08:45:00,DK1,30.0,3.65,27.26,3.65,1.0,0.0,0.0,0.0,-16.52,8.36,62.44,3.65,27.26,-1.0,-7.47
2026-01-01 08:00:00,2026-01-01T09:00:00,DK1,-83.0,-5.0,-37.34,3.53,-1.0,17.85,40.87,305.25,-0.68,29.35,219.21,3.53,26.37,-5.0,-37.34
2026-01-01 08:15:00,2026-01-01T09:15:00,DK1,0.0,3.54,26.44,3.54,0.0,26.15,46.75,349.17,0.0,0.0,0.0,3.54,26.44,-5.0,-37.34
2026-01-01 08:30:00,2026-01-01T09:30:00,DK1,91.0,37.57,280.61,3.72,1.0,0.69,37.57,280.61,-10.9,0.12,0.9,3.72,27.78,3.7,27.63
2026-01-01 08:45:00,2026-01-01T09:45:00,DK1,120.0,4.27,31.89,4.27,1.0,0.0,0.0,0.0,-26.9,0.67,5.0,4.27,31.89,0.0,0.0
2026-01-01 09:00:00,2026-01-01T10:00:00,DK1,0.0,4.32,32.27,4.32,0.0,23.4,51.48,384.5,-0.34,34.31,256.26,4.32,32.27,-5.0,-37.34
2026-01-01 09:15:00,2026-01-01T10:15:00,DK1,50.0,36.22,270.52,4.32,1.0,9.68,36.22,270.52,-0.09,47.11,351.86,4.32,32.27,0.0,0.0
2026-01-01 09:30:00,2026-01-01T10:30:00,DK1,78.0,19.28,144.0,4.36,1.0,0.59,19.28,144.0,-3.53,21.86,163.27,4.36,32.56,4.09,30.55
2026-01-01 09:45:00,2026-01-01T10:45:00,DK1,29.0,26.43,197.4,4.36,1.0,4.7,26.43,197.4,-0.79,40.56,302.94,4.36,32.56,1.0,7.47
2026-01-01 10:00:00,2026-01-01T11:00:00,DK1,-31.0,-5.0,-37.34,4.4,-1.0,11.83,35.71,266.71,-0.55,38.39,286.73,4.4,32.86,-5.0,-37.34
2026-01-01 10:15:00,2026-01-01T11:15:00,DK1,33.0,4.68,34.95,4.68,1.0,0.0,0.0,0.0,-18.09,9.94,74.24,4.68,34.95,-1.5,-11.2
2026-01-01 10:30:00,2026-01-01T11:30:00,DK1,-52.0,-2.48,-18.52,5.34,-1.0,0.0,0.0,0.0,-31.58,-2.48,-18.52,5.34,39.88,-1.0,-7.47
2026-01-01 10:45:00,2026-01-01T11:45:00,DK1,-87.0,-4.0,-29.88,5.19,-1.0,0.39,24.16,180.45,-7.13,13.44,100.38,5.19,38.76,-4.0,-29.88
2026-01-01 11:00:00,2026-01-01T12:00:00,DK1,-135.0,-5.0,-37.34,4.8,-1.0,0.0,0.0,0.0,-14.28,10.9,81.41,4.8,35.85,-5.0,-37.34
2026-01-01 11:15:00,2026-01-01T12:15:00,DK1,-98.0,-2.13,-15.91,5.05,-1.0,0.18,27.48,205.25,-3.75,35.59,265.82,5.05,37.72,-2.13,-15.91
2026-01-01 11:30:00,2026-01-01T12:30:00,DK1,-91.0,-1.0,-7.47,5.14,-1.0,0.0,0.0,0.0,-16.6,10.33,77.15,5.14,38.39,-1.0,-7.47
2026-01-01 11:45:00,2026-01-01T12:45:00,DK1,-71.0,-5.0,-37.34,5.38,-1.0,0.0,0.0,0.0,-33.41,-1.63,-12.17,5.38,40.18,-5.0,-37.34
2026-01-01 12:00:00,2026-01-01T13:00:00,DK1,-50.0,-5.0,-37.34,5.72,-1.0,11.83,25.57,190.98,-0.48,41.24,308.02,5.72,42.72,-5.0,-37.34
