TimeUTC,TimeDK,PriceArea,SatisfiedDemand,ImbalancePriceEUR,ImbalancePriceDKK,SpotPriceEUR,DominatingDirection,aFRRUpMW,aFRRVWAUpEUR,aFRRVWAUpDKK,aFRRDownMW,aFRRVWADownEUR,aFRRVWADownDKK,mFRRMarginalPriceUpEUR,mFRRMarginalPriceUpDKK,mFRRMarginalPriceDownEUR,mFRRMarginalPriceDownDKK
2025-03-04 12:00:00,2025-03-04T13:00:00,DK2,-223.0,-4.63,-34.53,4.04,-1.0,1.01,20.11,150.0,-0.18,21.06,157.08,10.0,74.59,-4.63,-34.53
2025-03-04 12:15:00,2025-03-04T13:15:00,DK2,-172.0,-4.63,-34.53,4.04,-1.0,4.21,20.11,150.0,0.0,0.0,0.0,10.0,74.59,-4.63,-34.53
2025-03-04 12:30:00,2025-03-04T13:30:00,DK2,-139.0,-4.63,-34.53,4.04,-1.0,1.07,20.11,150.0,-0.14,-0.97,-7.24,10.0,74.59,-4.63,-34.53
2025-03-04 12:45:00,2025-03-04T13:45:00,DK2,-138.0,-4.63,-34.53,4.04,-1.0,0.02,20.11,150.0,-1.88,-4.38,-32.67,10.0,74.59,-4.63,-34.53
2025-03-04 13:00:00,2025-03-04T14:00:00,DK2,-104.0,28.0,208.85,10.11,-1.0,0.0,0.0,0.0,-4.56,-16.36,-122.03,28.0,208.85,10.11,75.41
2025-03-04 13:15:00,2025-03-04T14:15:00,DK2,-200.0,28.0,208.85,10.11,-1.0,0.0,0.0,0.0,-4.52,-20.68,-154.25,28.0,208.85,10.11,75.41
2025-03-04 13:30:00,2025-03-04T14:30:00,DK2,-228.0,28.0,208.85,10.11,-1.0,0.0,31.85,237.57,-0.64,0.46,3.43,28.0,208.85,10.11,75.41
2025-03-04 13:45:00,2025-03-04T14:45:00,DK2,-241.0,28.0,208.85,10.11,-1.0,0.0,44.72,333.56,-3.22,-14.1,-105.17,28.0,208.85,10.11,75.41
2025-03-04 14:00:00,2025-03-04T15:00:00,DK2,-407.0,30.07,224.29,30.07,-1.0,0.0,0.0,0.0,-4.93,-16.28,-121.43,30.07,224.29,20.06,149.63
2025-03-04 14:15:00,2025-03-04T15:15:00,DK2,-395.0,30.07,224.29,30.07,-1.0,0.0,0.0,0.0,-4.63,-14.97,-111.66,30.07,224.29,20.06,149.63
