TimeUTC,TimeDK,PriceArea,mFRRSAUpReqMW,mFRRSAUpEUR,mFRRSADownReqMW,mFRRSADownEUR,mFRRDAUpMW,mFRRDAUpEUR,mFRRDADownMW,mFRRDADownEUR,TotalmFRRUpMW,TotalmFRRDownMW,mFRROfferedUpMW,mFRROfferedDownMW,mFRRLocalUpMW,mFRRLocalDownMW,mFRRSpecialUpMW,mFRRSpecialDownMW
2025-03-03 23:00:00,2025-03-04T00:00:00,DK1,288.0,65.06,,-11.67,,,,,288,0,657,3174,286.0,501.0,,
2025-03-03 23:15:00,2025-03-04T00:15:00,DK1,213.0,65.06,,-11.67,,,,,213,0,657,3174,212.0,501.0,,
2025-03-03 23:30:00,2025-03-04T00:30:00,DK1,269.0,65.06,,-11.67,,,,,269,0,657,3174,269.0,501.0,,
2025-03-03 23:45:00,2025-03-04T00:45:00,DK1,255.0,65.06,,-11.67,,,,,255,0,657,3174,254.0,501.0,,
2025-03-04 00:00:00,2025-03-04T01:00:00,DK1,,65.39,226.0,19.98,,,,,0,226,653,3142,,223.0,,
2025-03-04 00:15:00,2025-03-04T01:15:00,DK1,,65.39,66.0,19.98,,,,,0,66,653,3142,,82.0,,
2025-03-04 00:30:00,2025-03-04T01:30:00,DK1,,65.39,88.0,19.98,,,,,0,88,653,3142,,87.0,,
2025-03-04 00:45:00,2025-03-04T01:45:00,DK1,,65.39,158.0,19.98,,,,,0,158,653,3142,,155.0,,
2025-03-04 01:00:00,2025-03-04T02:00:00,DK1,,65.95,214.0,65.95,,,,,0,214,694,3125,,220.0,,
2025-03-04 01:15:00,2025-03-04T02:15:00,DK1,,65.95,133.0,65.95,,,,,0,133,694,3125,,134.0,,
2025-03-04 01:30:00,2025-03-04T02:30:00,DK1,,65.95,227.0,65.95,,,,,0,227,694,3125,,228.0,,
2025-03-04 01:45:00,2025-03-04T02:45:00,DK1,,65.95,238.0,65.95,,,,,0,238,694,3125,,240.0,,
2025-03-04 02:00:00,2025-03-04T03:00:00,DK1,80.0,60.95,,18.32,,,,,80,0,727,3202,84.0,81.0,,
2025-03-04 02:15:00,2025-03-04T03:15:00,DK1,129.0,60.95,,18.32,,,,,129,0,727,3202,139.0,81.0,,
2025-03-04 02:30:00,2025-03-04T03:30:00,DK1,143.0,60.95,,18.32,,,,,143,0,727,3202,153.0,81.0,,
2025-03-04 02:45:00,2025-03-04T03:45:00,DK1,130.0,60.95,,18.32,,,,,130,0,727,3202,140.0,81.0,,
2025-03-04 03:00:00,2025-03-04T04:00:00,DK1,,52.01,84.0,52.01,,,,,0,84,785,3259,,82.0,,
2025-03-04 03:15:00,2025-03-04T04:15:00,DK1,95.0,52.01,,52.01,,,,,95,0,785,3259,95.0,,,
2025-03-04 03:30:00,2025-03-04T04:30:00,DK1,150.0,52.01,,52.01,,,,,150,0,785,3259,150.0,,,
2025-03-04 03:45:00,2025-03-04T04:45:00,DK1,190.0,52.01,,52.01,,,,,190,0,785,3259,190.0,,,
2025-03-04 04:00:00,2025-03-04T05:00:00,DK1,,268.2,206.0,50.79,,,,,0,206,786,3306,424.0,209.0,,
2025-03-04 04:15:00,2025-03-04T05:15:00,DK1,,268.2,135.0,50.79,,,,,0,135,786,3306,424.0,132.0,,
2025-03-04 04:30:00,2025-03-04T05:30:00,DK1,,268.2,113.0,50.79,,,,,0,113,786,3306,424.0,114.0,,
2025-03-04 04:45:00,2025-03-04T05:45:00,DK1,,268.2,69.0,50.79,,,,,0,69,786,3306,424.0,70.0,,
2025-03-04 05:00:00,2025-03-04T06:00:00,DK1,,129.13,3.0,51.39,,,,,0,3,664,3470,55.0,6.0,,
2025-03-04 05:15:00,2025-03-04T06:15:00,DK1,,129.13,256.0,51.39,,,,,0,256,664,3470,55.0,259.0,,
2025-03-04 05:30:00,2025-03-04T06:30:00,DK1,100.0,129.13,,51.39,,,,,100,0,664,3470,100.0,,,
